Material,Language,,,Cost,Vendor Details
,English,Hindi,Marathi,,
Caregivers booklet,610,0,2175,8,Shree Ganesh Offset - 9821486525 shreeganeshoffset1@gmail.com
My Safety Book,1427,950,1149,180,Spenta Multimedia - 9819236413 vinod@spentamultimedia.com
My Personal Safety Workbook,2560,2980,2000,30,Spenta Multimedia - 9819236413 vinod@spentamultimedia.com
FAQ Book,6950,2696,4159,25,Shree Ganesh Offset - 9821486525 shreeganeshoffset1@gmail.com
Rescue and Remedy Book,133,,112,205,Vinay Arts - 9892934576 santoshghavre@gmail.com
Arpan T-Shirts,154,,,180,Smita Enterprisses
Arpan Mug,182,,,200,Vinay Arts - 9892934576 santoshghavre@gmail.com
Arpan Key Chains,1928,,,23,
Media Report,2,,,260,
Mandatory Report,2,,,260,
Stickers,1124,968,882,6,Shree Ganesh Offset - 9821486525 shreeganeshoffset1@gmail.com
Parenting Poster Digital,350,115,140,16,Vinay Arts - 9892934576 santoshghavre@gmail.com
Childrens Poster Digital,350,115,140,16,
Feed back form,5960,,,2,Monica stationary stationery.monica@gmail.com
Annual Report 17-18,38,,,1175,Shree Ganesh Offset - 9821486525 shreeganeshoffset1@gmail.com
Flyer,1743,4530,5536,7,Shree Ganesh Offset - 9821486525 shreeganeshoffset1@gmail.com
WorkSheet English,,,,,
Grade 1,0,,,,
Grade 2,0,,,,
Grade 3,0,,,,
Grade 4,0,,,,
Grade 5&6,0,,,,
,,,,,
WorkSheet Hindi,,,,,
Grade 1,,0,,,
Grade 2,,0,,,
Grade 3,,0,,,
Grade 4,,0,,,
Grade 5&6,,0,,,
,,,,,
WorkSheet Marathi,,,,,
Grade 1,,,400,60 Paisa per Page,Monica stationary stationery.monica@gmail.com
Grade 2,,,500,60 Paisa per Page,
Grade 3,,,200,60 Paisa per Page,
Grade 4,,,350,60 Paisa per Page,
Grade 5&6,,,350,60 Paisa per Page,
